firstname,lastname,nickname,height,weight,reach,stance,wins,losses,draws,belt
"Ildemar","Alcantara","Marajo","6' 2""","185 lbs.","78.0""","Orthodox","21","11","0","false"
"Shamil","Abdurakhimov","Abrek","6' 3""","235 lbs.","76.0""","Orthodox","20","5","0","false"
"Ben","Alloway","Blanco","5' 11""","170 lbs.","76.0""","Orthodox","18","8","0","false"
"John","Alessio","The Natural","5' 10""","155 lbs.","72.0""","Orthodox","35","17","0","false"
"Thomas","Almeida","Thominhas","5' 7""","145 lbs.","70.0""","Southpaw","22","5","0","false"
"Veta","Arteaga","","5' 7""","125 lbs.","","","3","1","0","false"
"Rich","Attonito","The Raging Bull","5' 10""","170 lbs.","72.0""","Orthodox","10","5","0","false"
"Chad","Anheliger","","5' 6""","135 lbs.","","","10","5","0","false"
"Juan","Alcain","","","","","","1","2","0","false"
"John","Albert","Prince","5' 8""","135 lbs.","68.0""","Orthodox","6","5","0","false"
"Jermaine","Andre","","5' 7""","200 lbs.","","Orthodox","14","4","0","false"
"Israel","Albuquerque","","","185 lbs.","","Orthodox","0","3","0","false"
"Teddy","Ash","Bear","6' 1""","185 lbs.","73.0""","Switch","14","5","0","false"
"Anthony","Alves","","","","","","1","4","0","false"
"Amir","Albazi","The Prince","5' 5""","125 lbs.","68.0""","Orthodox","14","1","0","false"
"Heili","Alateng","The Mongolian Knight","5' 5""","135 lbs.","66.0""","Orthodox","14","8","1","false"
"Olivier","Aubin-Mercier","The Canadian Gangster","5' 9""","155 lbs.","70.0""","Southpaw","11","5","0","false"
"Nick","Agallar","","5' 8""","155 lbs.","","Orthodox","24","6","0","false"
"Viviane","Araujo","Vivi","5' 4""","125 lbs.","68.0""","Orthodox","10","3","0","false"
"Ricardo","Abreu","Demente","5' 11""","185 lbs.","","Orthodox","5","1","0","false"
"Cesar","Arzamendia","Goku","5' 11""","155 lbs.","","Orthodox","8","3","0","false"
"Luciano","Azevedo","","6' 3""","161 lbs.","","Orthodox","17","9","1","false"
"Alex","Andrade","El Toro","5' 11""","200 lbs.","","Orthodox","10","5","0","false"
"Mike","Aina","Iron","5' 9""","155 lbs.","","Orthodox","14","6","1","false"
"Sam","Alvey","Smile'N","6' 2""","205 lbs.","75.0""","Southpaw","33","15","1","false"
