firstname,lastname,nickname,height,weight,reach,stance,wins,losses,draws,belt
"Mark","Striegl","Mugen","5' 8""","135 lbs.","70.0""","Southpaw","18","3","0",""
"Edimilson","Souza","Kevin","6' 0""","145 lbs.","74.0""","Orthodox","15","5","0",""
"Jean","Silva","White Bear","5' 6""","160 lbs.","--","Orthodox","19","12","3",""
"Yuya","Shirai","","5' 8""","168 lbs.","--","Orthodox","26","14","2",""
"Ken","Stone","","5' 8""","135 lbs.","71.0""","Southpaw","11","4","0",""
"Mike","Santiago","","5' 10""","145 lbs.","69.0""","Orthodox","19","12","0",""
"Raul","Sandoval","","--","130 lbs.","--","","3","3","0",""
"Andrew","Sanchez","El Dirte","6' 1""","185 lbs.","74.0""","Orthodox","13","6","0",""
"Kenneth","Seegrist","","6' 0""","185 lbs.","--","Orthodox","4","7","0",""
"Katsuyori","Shibata","","6' 0""","168 lbs.","--","Orthodox","4","11","1",""
"Daniel","Schmitt","","--","185 lbs.","--","","2","3","0",""
"Hugo","Sandoval","","--","135 lbs.","--","","2","3","0",""
"Josh","Shockley","","6' 1""","155 lbs.","--","Orthodox","11","4","0",""
"Paulo Cesar","Silva","Giant","7' 5""","385 lbs.","--","Orthodox","2","6","0",""
"Yuta","Sasaki","Ulka","5' 10""","125 lbs.","71.0""","Southpaw","21","6","2",""
"Wataru","Sakata","","5' 9""","195 lbs.","--","Southpaw","11","14","0",""
"Jonathan","Santa Maria","","5' 9""","125 lbs.","--","","3","4","0",""
"Tim","Sylvia","The Maine-iac","6' 8""","265 lbs.","80.0""","Orthodox","31","10","0",""
"Cory","Sandhagen","","5' 11""","135 lbs.","70.0""","Switch","14","3","0",""
"Ivan","Salaverry","","6' 0""","185 lbs.","--","Orthodox","14","9","0",""
"Taila","Santos","","5' 6""","125 lbs.","68.0""","Orthodox","17","1","0",""
"Ricky","Steele","The Karate Kid","5' 9""","135 lbs.","74.0""","Orthodox","6","0","0",""
"Adam","Steele","","--","170 lbs.","--","","0","1","0",""
"Josh","Smith","","6' 0""","155 lbs.","--","Orthodox","9","8","0",""
"Henrique","Shiguemoto","","5' 11""","185 lbs.","72.0""","Orthodox","13","4","1",""
"Yokthai","Sithoar","","5' 7""","143 lbs.","--","","0","1","0",""
"Danny","Sabatello","Italian Gangster","5' 10""","135 lbs.","71.0""","Orthodox","9","1","0",""
"Joe","Slick","","6' 0""","199 lbs.","--","Orthodox","16","5","3",""
"Ivan","Serati","","6' 0""","205 lbs.","--","Orthodox","12","4","0",""
"Ryan","Spann","Superman","6' 5""","205 lbs.","79.0""","Orthodox","19","6","0",""
"Cristina","Stanciu","Barbie","5' 3""","115 lbs.","--","Orthodox","5","2","0",""
"Jake","Shields","","6' 0""","170 lbs.","72.0""","Orthodox","31","9","1",""
"Mario","Sperry","Zen Machine","6' 2""","205 lbs.","--","Orthodox","13","4","0",""
"Bobby","Stack","","5' 9""","155 lbs.","--","Orthodox","8","3","0",""
"Joe","Solecki","","5' 9""","155 lbs.","70.0""","Orthodox","11","2","0",""
"Waachiim","Spiritwolf","Native Warrior","5' 8""","170 lbs.","--","","12","13","1",""
"Greg","Scott","","5' 9""","145 lbs.","--","","3","4","0",""
"Aaron","Simpson","A-Train","6' 0""","170 lbs.","73.0""","Orthodox","12","5","0",""
"Jesse","Sanders","","6' 0""","170 lbs.","--","Orthodox","23","7","0",""
"Livinha","Souza","The Brazilian Gangsta","5' 3""","115 lbs.","63.0""","Orthodox","14","3","0",""
"Tom","Sauer","","6' 1""","263 lbs.","--","","25","12","0",""
"Floyd","Sword","","6' 0""","185 lbs.","--","Orthodox","12","3","0",""
"Yukio","Sakaguchi","","5' 9""","185 lbs.","--","Orthodox","6","7","0",""
"Chad","Sutton","","6' 1""","185 lbs.","--","","2","2","0",""
"Ken","Shamrock","The World's Most Dangerous Man","6' 1""","205 lbs.","72.0""","Orthodox","28","17","2",""
"Luke","Stewart","","5' 11""","170 lbs.","--","Orthodox","6","3","0",""
"Rameau Thierry","Sokoudjou","The African Assassin","5' 10""","205 lbs.","78.0""","Orthodox","18","18","0",""
"Jorge","Santiago","The Sandman","6' 1""","170 lbs.","75.0""","Orthodox","25","12","0",""
"Marlon","Sims","","--","170 lbs.","--","","3","4","0",""
"Yuhi","Sano","","5' 11""","243 lbs.","--","Orthodox","0","4","0",""
"Leandro","Silva","Buscape","5' 9""","155 lbs.","72.0""","Orthodox","20","6","1",""
"Daniel","Straus","","5' 7""","145 lbs.","71.0""","","24","7","0",""
"Andre","Soukhamthath","The Asian Sensation","5' 9""","135 lbs.","70.0""","Orthodox","13","8","0",""
"Dustin","Stoltzfus","","6' 0""","185 lbs.","75.0""","Orthodox","13","3","0",""
"Brendan","Schaub","Big Brown","6' 4""","245 lbs.","78.0""","Orthodox","10","5","0",""
"Jeremy","Stephens","Lil' Heathen","5' 9""","145 lbs.","71.0""","Orthodox","28","19","0",""
"Wade","Shipp","The Nightmare","6' 3""","245 lbs.","--","Orthodox","11","5","0",""
"Andrei","Semenov","","6' 0""","185 lbs.","--","Orthodox","34","9","2",""
"John","Salgado","Greco","5' 10""","170 lbs.","--","","4","8","1",""
"Cody","Sons","","5' 9""","205 lbs.","--","","3","7","0",""
"Stefan","Struve","Skyscraper","6' 11""","265 lbs.","84.0""","Orthodox","33","13","0",""
"Ray","Sefo","Sugarfoot","6' 0""","240 lbs.","--","Orthodox","2","2","0",""
"Lazar","Stojadinovic","The Bronx Bomber","5' 7""","145 lbs.","68.0""","Southpaw","12","5","0",""
"Yuki","Sasaki","","6' 2""","185 lbs.","--","Orthodox","25","22","2",""
"Niklas","Stolze","Green Mask","6' 1""","170 lbs.","74.0""","Switch","12","4","0",""
"Julija","Stoliarenko","","5' 7""","135 lbs.","66.0""","","9","6","1",""
"Kazushi","Sakuraba","The Gracie Hunter","6' 0""","185 lbs.","--","Southpaw","26","17","1",""
"Steven","Siler","Super","5' 11""","145 lbs.","70.0""","Orthodox","29","16","0",""
"Matt","Schnell","Danger","5' 8""","125 lbs.","70.0""","Orthodox","15","6","0",""
"Sean","Sherk","The Muscle Shark","5' 6""","155 lbs.","67.0""","Orthodox","36","4","1",""
"Saparbeg","Safarov","","6' 1""","185 lbs.","78.0""","Orthodox","9","3","0",""
"Song","Yadong","","5' 8""","135 lbs.","67.0""","Orthodox","16","5","1",""
"Richie","Santiago","The Milford Mauler","5' 7""","135 lbs.","67.0""","Southpaw","7","2","0",""
"Paul","Song","","--","185 lbs.","--","","2","2","0",""
"Augusto","Sakai","","6' 3""","265 lbs.","77.0""","Orthodox","15","3","1",""
"Yusup","Saadulaev","Maestro","5' 6""","135 lbs.","--","","16","4","1",""
"Rory","Singer","Outburst","6' 2""","185 lbs.","77.0""","Orthodox","11","9","0",""
"Gabriel","Silva","","5' 6""","135 lbs.","71.0""","Orthodox","8","2","0",""
"Gokhan","Saki","The Rebel","6' 0""","205 lbs.","73.0""","Orthodox","1","2","0",""
"Nate","Smith","The Savage","5' 6""","125 lbs.","69.0""","Switch","6","1","0",""
"Natalia","Silva","","5' 4""","125 lbs.","--","","12","5","1",""
"Ricky","Simon","","5' 6""","135 lbs.","69.0""","Orthodox","18","3","0",""
"Scott","Smith","Hands of Steel","6' 0""","185 lbs.","70.0""","Orthodox","18","11","0",""
"Mario","Souza","Coracao Valente","6' 3""","185 lbs.","79.0""","Orthodox","12","1","0",""
"Eric","Spicely","Zebrinha","6' 1""","185 lbs.","73.0""","Orthodox","12","6","0",""
"Pete","Sabala","","--","135 lbs.","--","","3","15","0",""
"Jason","Saggo","","5' 11""","155 lbs.","71.0""","Orthodox","12","4","0",""
"Pat","Sabatini","","5' 8""","145 lbs.","70.0""","Orthodox","14","3","0",""
"Georges","St-Pierre","Rush","5' 11""","185 lbs.","76.0""","Orthodox","26","2","0",""
"Dmitrii","Smoliakov","The Lifeguard","6' 2""","253 lbs.","74.0""","Switch","9","3","0",""
"Denis","Stojnic","","6' 0""","245 lbs.","--","Orthodox","13","3","0",""
"Sean","Soriano","","5' 9""","155 lbs.","70.0""","Orthodox","14","7","0",""
"Joe","Soto","One Bad Mofo","5' 6""","135 lbs.","65.0""","Orthodox","18","7","0",""
"Felicia","Spencer","FeeNom","5' 6""","145 lbs.","68.0""","Orthodox","8","3","0",""
"Lucasz","Sudolski","","--","205 lbs.","--","","8","0","0",""
"Will","Santiago","The Brown Bomber","5' 7""","185 lbs.","--","Orthodox","9","5","0",""
"Kyosuke","Sasaki","","5' 7""","183 lbs.","--","Southpaw","3","7","4",""
"Joe","Son","","5' 4""","236 lbs.","--","Orthodox","0","4","0",""
"Cub","Swanson","","5' 8""","145 lbs.","70.0""","Orthodox","27","12","0",""
"Rick","Story","The Horror","5' 9""","170 lbs.","71.0""","Southpaw","19","9","0",""
"Rafael","Silva","Morcego","5' 7""","135 lbs.","--","","28","6","0",""
"George","Stork","","5' 10""","185 lbs.","--","","7","9","0",""
"Leo","Sylvest","Lethal","5' 11""","205 lbs.","--","Orthodox","10","16","0",""
"Jacare","Souza","","6' 1""","185 lbs.","72.0""","Orthodox","26","10","0",""
"Matt","Skelton","","6' 3""","265 lbs.","--","Orthodox","0","1","0",""
"Brian","Schwartz","","6' 3""","170 lbs.","--","Orthodox","1","1","0",""
"Harris","Sarmiento","The Hitman","5' 9""","155 lbs.","--","Orthodox","36","26","0",""
"Tarec","Saffiedine","Sponge","5' 10""","170 lbs.","70.0""","Switch","16","7","0",""
"Martin","Svensson","","6' 1""","155 lbs.","--","","15","6","0",""
"Ray","Sloan","","6' 1""","205 lbs.","--","","8","1","0",""
"Patrick","Speight","","6' 1""","170 lbs.","--","Orthodox","7","3","0",""
"Ryan","Stonitsch","","5' 9""","170 lbs.","--","Southpaw","8","1","0",""
"Dave","Strasser","","5' 10""","170 lbs.","--","Orthodox","25","8","0",""
"Daisuke","Sugie","Amazon","5' 6""","160 lbs.","--","Orthodox","10","8","1",""
"Mike","Stumpf","","5' 10""","170 lbs.","--","","11","4","0",""
"Peter","Sobotta","","6' 0""","170 lbs.","75.0""","Southpaw","17","7","1",""
"Anthony","Smith","Lionheart","6' 4""","205 lbs.","76.0""","Orthodox","35","16","0",""
"Erick","Silva","","6' 0""","170 lbs.","74.0""","Orthodox","19","9","0",""
"John","Salter","","6' 1""","185 lbs.","74.0""","Southpaw","14","3","0",""
"Josh","Shockman","The War Hammer","6' 4""","235 lbs.","--","Southpaw","6","3","0",""
"Matthew","Semelsberger","Semi The Jedi","6' 1""","170 lbs.","75.0""","Switch","8","3","0",""
"Takashi","Sato","Ten","5' 10""","170 lbs.","73.0""","Southpaw","16","4","0",""
"Wes","Sims","The Project","6' 10""","260 lbs.","--","Orthodox","24","14","1",""
"Daniel","Spitz","","6' 7""","245 lbs.","82.0""","Orthodox","6","3","0",""
"Erick","Sanchez","","5' 10""","145 lbs.","--","","8","3","0",""
"Dennis","Siver","","5' 6""","145 lbs.","70.0""","Orthodox","23","11","0",""
"Leon","Shahbazyan","","6' 4""","170 lbs.","74.0""","Orthodox","7","2","0",""
"Cody","Stamann","The Spartan","5' 6""","145 lbs.","64.0""","Orthodox","19","4","1",""
"Nick","Sanzo","","5' 9""","190 lbs.","--","","1","1","0",""
"Shaheen","Santana","Shazam","6' 1""","155 lbs.","75.0""","Orthodox","6","1","0",""
"Mitchell","Sipe","No Dice","6' 2""","245 lbs.","--","Orthodox","4","1","0",""
"Steve","Steinbeiss","The Hooligan","6' 3""","185 lbs.","75.0""","Orthodox","9","4","0",""
"Jansey","Silva","Jones","6' 2""","170 lbs.","--","","7","1","0",""
"Kevin","Syler","El Nino Bala","5' 9""","155 lbs.","71.0""","Switch","10","1","0",""
"Donald","Sanchez","","5' 10""","145 lbs.","--","","31","17","0",""
"Rosi","Sexton","The Surgeon","5' 3""","135 lbs.","--","Orthodox","13","5","0",""
"Siala","Siliga","Mighty Mo","6' 1""","290 lbs.","--","Orthodox","12","5","0",""
"Justin","Sumter","","6' 2""","185 lbs.","80.0""","Southpaw","7","3","0",""
"Eric","Schwartz","","--","205 lbs.","--","","2","0","0",""
"Nick","Serra","The Mad Monkey","5' 9""","170 lbs.","--","Orthodox","7","3","0",""
"Brandon","Sayles","Man of War","6' 5""","265 lbs.","--","","5","1","0",""
"Townsend","Saunders","","5' 5""","170 lbs.","--","Orthodox","0","2","0",""
"Jose","Santibanez","","--","155 lbs.","--","","10","3","0",""
"Gabriel","Salinas-Jones","","6' 1""","245 lbs.","--","","5","2","1",""
"Andre","Santos","Chatuba","6' 0""","170 lbs.","--","","38","10","0",""
"Jeri","Sitzes","","5' 5""","125 lbs.","--","","3","1","0",""
"Joe","Schilling","","6' 3""","185 lbs.","--","","2","5","0",""
"Frankie","Saenz","","5' 6""","135 lbs.","66.0""","Orthodox","13","7","0",""
"Joel","Sutton","","5' 11""","205 lbs.","--","Orthodox","2","4","1",""
"Matt","Secor","","6' 0""","170 lbs.","--","","8","4","0",""
"Sidney","Silva","","6' 3""","170 lbs.","--","Southpaw","8","4","0",""
"Bob","Sapp","The Beast","6' 5""","350 lbs.","--","Orthodox","11","20","0",""
"Boston","Salmon","Boom Boom","5' 9""","135 lbs.","69.0""","Southpaw","6","3","0",""
"Evangelista","Santos","Cyborg","5' 10""","170 lbs.","76.0""","Orthodox","21","18","0",""
"Dillon","Smith","","6' 0""","170 lbs.","--","","0","0","0",""
"Liliya","Shakirova","","5' 4""","125 lbs.","65.0""","Orthodox","8","2","0",""
"Chris","Saunders","The So Cal Kid","5' 8""","155 lbs.","--","","16","8","0",""
"Marc","Stevens","","5' 9""","155 lbs.","--","","21","10","0",""
"Ron","Sparks","The Monster","6' 5""","265 lbs.","--","","8","3","0",""
"Andreas","Spang","Sweet Swede","6' 1""","185 lbs.","--","","9","3","0",""
"Andreas","Stahl","Real Steel","5' 11""","170 lbs.","--","Orthodox","10","4","0",""
"Maia","Stevenson","","5' 4""","115 lbs.","62.0""","Orthodox","6","5","0",""
"Luis","Santos","","6' 1""","170 lbs.","--","Southpaw","63","10","1",""
"Adam","Smith","","--","--","--","","0","3","0",""
"Mike","Swick","Quick","6' 1""","170 lbs.","77.0""","Orthodox","15","6","0",""
"Tony","Sims","","5' 11""","155 lbs.","70.0""","Southpaw","12","4","0",""
"Kyle","Sturgeon","","6' 3""","225 lbs.","--","Switch","0","1","0",""
"Edivan","Santos","Pe De Sapo","6' 7""","185 lbs.","--","","12","2","1",""
"Kamal","Shalorus","Prince of Persia","5' 8""","155 lbs.","68.0""","Orthodox","9","5","2",""
"Matt","Serra","The Terra","5' 6""","170 lbs.","68.0""","Orthodox","11","7","0",""
"Sean","Salmon","","5' 10""","185 lbs.","--","Southpaw","18","21","0",""
"Brian","Sleeman","","5' 8""","185 lbs.","--","","9","9","1",""
"Takenori","Sato","","5' 10""","170 lbs.","--","Southpaw","19","11","7",""
"Marcus","Silveira","Conan","6' 3""","242 lbs.","--","Orthodox","6","4","0",""
"Kiril","Sidelnikov","","5' 11""","230 lbs.","--","","11","4","0",""
"Alessio","Sakara","Legionarius","6' 0""","185 lbs.","72.0""","Orthodox","19","11","0",""
"Laureano","Staropoli","Pepi","6' 1""","185 lbs.","71.0""","Orthodox","9","4","0",""
"Roldan","Sangcha'an","The Executioner","5' 4""","125 lbs.","--","Orthodox","4","2","0",""
"Jason","Suttie","Nobunaga","6' 0""","210 lbs.","--","Orthodox","0","1","0",""
"Luke","Sanders","Cool Hand","5' 6""","135 lbs.","67.0""","Southpaw","13","5","0",""
"Joseph","Sandoval","","5' 7""","135 lbs.","--","Southpaw","7","7","0",""
"Bruno","Santos","Carioca","5' 9""","185 lbs.","--","Orthodox","15","2","0",""
"Jason","Sharp","","--","205 lbs.","--","","3","3","0",""
"Lodune","Sincaid","","5' 9""","185 lbs.","--","Orthodox","15","9","0",""
"Nick","Sperling","","--","135 lbs.","--","","3","4","0",""
"Eric","Smith","","--","--","--","Southpaw","1","1","0",""
"Ron","Stallings","The Choir Boy","6' 2""","170 lbs.","75.0""","Southpaw","14","8","0",""
"Chase","Sherman","The Vanilla Gorilla","6' 4""","250 lbs.","78.0""","Orthodox","15","7","0",""
"Josh","Sampo","The Gremlin","5' 4""","125 lbs.","64.0""","Orthodox","11","5","0",""
"Eric","Steenberg","","--","155 lbs.","--","","5","1","0",""
"Raja","Shippen","","5' 6""","145 lbs.","--","","18","11","1",""
"Alex","Soto","Extremo","5' 8""","135 lbs.","--","Southpaw","8","3","1",""
"Chael","Sonnen","","6' 1""","205 lbs.","73.0""","Southpaw","29","15","1",""
"Brandon","Sene","","5' 11""","205 lbs.","--","","2","2","0",""
"Charon","Spain","","5' 9""","155 lbs.","--","","14","26","0",""
"Maurice","Smith","","6' 2""","221 lbs.","--","Orthodox","12","14","0",""
"Robert","Sanchez","Littlefury","5' 6""","125 lbs.","66.0""","Orthodox","8","2","0",""
"Shunichi","Shimizu","","5' 5""","135 lbs.","--","Orthodox","30","18","11",""
"Zach","Skinner","","5' 6""","145 lbs.","--","Orthodox","10","11","0",""
"","null","null","null","null","null","null","null","null","null","null"
"Colton","Smith","","6' 0""","155 lbs.","71.0""","Orthodox","7","4","0",""
"Bruno","Silva","Bulldog","5' 4""","125 lbs.","65.0""","Orthodox","12","5","2",""
"Amar","Suloev","","5' 9""","183 lbs.","--","Orthodox","24","7","0",""
"Josh","Samman","Anqa","6' 3""","185 lbs.","79.0""","Orthodox","13","4","0",""
"Edmen","Shahbazyan","The Golden Boy","6' 2""","185 lbs.","74.0""","Orthodox","11","2","0",""
"Antonio","Silva","Bigfoot","6' 4""","264 lbs.","82.0""","Orthodox","19","12","1",""
"Dmitri","Stepanov","","6' 3""","217 lbs.","--","Orthodox","0","1","0",""
"Fabiano","Scherner","Pegaleve","6' 3""","257 lbs.","--","Orthodox","11","10","0",""
"Brandon","Shuey","Big Dawg","5' 7""","155 lbs.","--","Orthodox","7","6","0",""
"Joby","Sanchez","","5' 6""","135 lbs.","68.0""","Orthodox","11","4","0",""
"Paul","Sass","","6' 0""","155 lbs.","73.0""","Orthodox","14","2","0",""
"Anderson","Silva","The Spider","6' 2""","185 lbs.","77.0""","Southpaw","34","11","0",""
"Fabio","Silva","","5' 11""","205 lbs.","--","Orthodox","1","8","0",""
"Tommy","Speer","","5' 10""","170 lbs.","71.0""","Orthodox","21","7","0",""
"Jerrod","Sanders","J-Reazie","5' 8""","135 lbs.","72.0""","Orthodox","16","3","0",""
"Tony","Sylvester","","6' 1""","225 lbs.","--","Southpaw","11","3","0",""
"Wes","Shivers","","6' 8""","--","--","","7","1","0",""
"Greg","Stott","Ranger","5' 7""","220 lbs.","--","Southpaw","0","1","0",""
"Hans","Stringer","","6' 3""","205 lbs.","--","Orthodox","22","8","3",""
"Pete","Spratt","The Secret Weapon","5' 9""","170 lbs.","--","Orthodox","25","23","0",""
"Song","Kenan","The Assassin","6' 0""","170 lbs.","71.0""","Orthodox","16","6","0",""
"Art","Santore","Pachuco","6' 2""","185 lbs.","--","","18","8","0",""
"Matheus","Scheffel","Buffa","6' 2""","205 lbs.","--","","14","6","0",""
"Iliarde","Santos","","5' 5""","125 lbs.","67.0""","Orthodox","30","13","1",""
"Sean","Santella","Shorty Rock","5' 5""","125 lbs.","--","","17","6","1",""
"Denis","Sobolev","","6' 3""","216 lbs.","--","Orthodox","4","7","0",""
"Duda","Santana","Cowboyzinha","5' 7""","145 lbs.","73.0""","Orthodox","3","1","0",""
"Chris","Solomon","","5' 11""","155 lbs.","--","","0","0","0",""
"Austin","Springer","","5' 8""","145 lbs.","71.0""","Orthodox","12","4","0",""
"Sam","Stout","Hands of Stone","5' 9""","155 lbs.","70.0""","Orthodox","20","12","1",""
"Bruno","Silva","Blindado","6' 0""","185 lbs.","74.0""","Orthodox","20","6","0",""
"Trevor","Smith","Hot Sauce","6' 3""","185 lbs.","75.0""","Orthodox","15","10","0",""
"Eddie","Sanchez","The Manic Hispanic","6' 2""","230 lbs.","74.0""","Orthodox","15","8","0",""
"Serghei","Spivac","Polar Bear","6' 3""","260 lbs.","78.0""","Orthodox","13","2","0",""
"Bob","Schrijber","Dirty","6' 0""","240 lbs.","--","Orthodox","20","17","1",""
"Kalib","Starnes","","6' 3""","185 lbs.","74.0""","Orthodox","17","11","1",""
"George","Sullivan","The Silencer","6' 0""","170 lbs.","73.0""","Orthodox","17","7","0",""
"Luis","Saldana","","5' 11""","145 lbs.","73.0""","Orthodox","15","6","0",""
"Ben","Saunders","Killa B","6' 2""","170 lbs.","77.0""","Orthodox","22","13","2",""
"Jack","Shore","Tank","5' 8""","135 lbs.","71.0""","Orthodox","14","0","0",""
"Louis","Smolka","Da Last Samurai","5' 9""","135 lbs.","68.0""","Orthodox","17","7","0",""
"Josh","San Diego","JSD","5' 10""","135 lbs.","--","","8","3","0",""
"Douglas","Silva de Andrade","D Silva","5' 7""","145 lbs.","68.0""","Orthodox","26","4","0",""
"Stefan","Sekulic","","6' 0""","170 lbs.","75.0""","Southpaw","12","4","0",""
"Elvis","Sinosic","The King of Rock n' Rumble","6' 3""","205 lbs.","77.0""","Orthodox","7","11","2",""
"Ray","Steinbeiss","Ipswitch Cobra","5' 11""","170 lbs.","--","Orthodox","14","7","0",""
"Dominique","Steele","Non-Stop Action-Packed","5' 10""","170 lbs.","74.0""","Orthodox","14","9","0",""
"Rony","Sefo","","5' 9""","225 lbs.","--","Orthodox","0","2","0",""
"Sean","Strickland","Tarzan","6' 1""","185 lbs.","76.0""","Orthodox","23","3","0",""
"Tyler","Stinson","The Evolution","6' 3""","170 lbs.","--","","30","10","0",""
"Valentina","Shevchenko","Bullet","5' 5""","125 lbs.","66.0""","Southpaw","21","3","0",""
"Colleen","Schneider","","--","135 lbs.","--","","11","7","0",""
"Julian","Sanchez","","6' 3""","300 lbs.","--","Orthodox","0","1","0",""
